--------- beginning of main
02-17 07:43:53.660 27828 27828 W libc    : Access denied finding property "ro.debuggable"
02-17 07:43:53.660 27828 27828 W libc    : Access denied finding property "ro.debuggable"
02-17 07:43:53.660 27828 27828 W libc    : Access denied finding property "ro.debuggable"
02-17 07:43:53.661 27828 27828 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 10462 <<<<<<
02-17 07:43:53.661 27828 27828 W libc    : Access denied finding property "ro.debuggable"
02-17 07:43:53.665 27828 27828 I AndroidRuntime: Using default boot image
02-17 07:43:53.665 27828 27828 I AndroidRuntime: Leaving lock profiling enabled
02-17 07:43:53.665 27828 27828 W libc    : Access denied finding property "odsign.verification.success"
02-17 07:43:53.665 27828 27828 W libc    : Access denied finding property "ro.debuggable"
02-17 07:43:53.667 27828 27828 W app_process: ART APEX data files are untrusted.
02-17 07:43:53.667 27828 27828 I app_process: Using CollectorTypeCMC GC.
02-17 07:43:53.724 27828 27828 D nativeloader: InitDefaultPublicLibraries for_preload=1: libandroid.so:libaaudio.so:libamidi.so:libbinder_ndk.so:libc.so:libcamera2ndk.so:libdl.so:libEGL.so:libGLESv1_CM.so:libGLESv2.so:libGLESv3.so:libicu.so:libicui18n.so:libicuuc.so:libjnigraphics.so:liblog.so:libmediandk.so:libm.so:libnativehelper.so:libnativewindow.so:libOpenMAXAL.so:libOpenSLES.so:libRS.so:libstdc++.so:libsync.so:libvulkan.so:libwebviewchromium_plat_support.so:libz.so
02-17 07:43:53.731 27828 27828 D nativeloader: Load libicu_jni.so using APEX ns com_android_art for caller /apex/com.android.art/javalib/core-oj.jar: ok
02-17 07:43:53.731 27828 27828 D app_process: u_setTimeZoneFilesDirectory("/apex/com.android.tzdata/etc/tz/versioned/9/icu") succeeded. 
02-17 07:43:53.731 27828 27828 D app_process: I18n APEX ICU file found: /apex/com.android.i18n/etc/icu/icudt76l.dat
02-17 07:43:53.732 27828 27828 D nativeloader: Load libjavacore.so using APEX ns com_android_art for caller /apex/com.android.art/javalib/core-oj.jar: ok
02-17 07:43:53.732 27828 27828 D nativeloader: Load libopenjdk.so using APEX ns com_android_art for caller /apex/com.android.art/javalib/core-oj.jar: ok
02-17 07:43:53.733 27828 27828 I app_process: Priority-to-niceness mapping: 19, 16, 13, 10, 0, -2, -4, -5, -6, -8
02-17 07:43:53.751 27828 27828 W libc    : Access denied finding property "ro.product.name_for_attestation"
02-17 07:43:53.752 27828 27828 W libc    : Access denied finding property "ro.product.device_for_attestation"
02-17 07:43:53.752 27828 27828 W libc    : Access denied finding property "ro.product.manufacturer_for_attestation"
02-17 07:43:53.752 27828 27828 W libc    : Access denied finding property "ro.product.brand_for_attestation"
02-17 07:43:53.752 27828 27828 W libc    : Access denied finding property "ro.product.model_for_attestation"
02-17 07:43:53.752 27828 27828 W libc    : Access denied finding property "ro.debuggable"
02-17 07:43:53.757 27828 27828 D nativeloader: Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
02-17 07:43:53.757 27828 27828 D AndroidRuntime: Calling main entry com.termux.termuxam.Am
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.nfc.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.app.admin.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.graphics.graphicsenv.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.database.sqlite is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.providers.calendar is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.server.power.feature.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.settingslib.widget.theme.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.app.contextualsearch.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.app.ondeviceintelligence.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.media.projection.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.companion is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.service.controls.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.text.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.providers.contactkeys.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.intentresolver is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.companion.virtualdevice.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.uprobestats.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.net.thread.platform.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.view.contentprotection.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.graphics.surfaceflinger.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.hardware.input is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.sdk is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.input.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.tracing is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.server.biometrics is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.view.contentcapture.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.app.job is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.content.res is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.net.platform.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.aconfig.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.graphics.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.server.app is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.speech.flags is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: com.android.server.stats is mapped to system
02-17 07:43:53.774 27828 27828 I AconfigPackage: android.hardware.biometrics is mapped to system
